id,vprasanje,odgovori,nepravilni
,"Koliko je bil star slovenski pesnik Srečko Kosovel, ko je umrl?",22 let,25 let/24 let/32 let
,Kje se je rodil slovenski pesnik Srečko Kosovel?,V Sežani,V Izoli/V Kopru/V Piranu
,Kje se je rodil slovenski pisatelj Ivan Cankar?,Na Vrhniki,Na Vrbi/V Ljubljani/V Velenju
,Katerega leta je umrl slovenski pisatelj Ivan Cankar?,1918,1920/1922/1915
,Kje je največji moški zapor v Sloveniji?,Na Dobu pri Mirni,V Ljubljani/V Velenju/V Trebnjem
,Katera znamka avtomobilov se proizvaja tudi v Sloveniji?,Renault,Fiat/Volkswagen/Bmw
,Kolikšna je lahko najdaljša zaporna kazen v Sloveniji?,Dosmrtna,30 let/20 let/25 let
,Kateri je najstarejši slovenski grad?,Blejski grad,Ljubljanski grad/Mokriški grad/Postojnski grad
,Katero drevo velja za simbol slovenstva?,Lipa,Hrast/Bukev/Breza
,Kakšno obliko ima slovenski grb?,Obliko ščita,Obliko lista/Obliko gradu/Obliko Triglava
,Katerega je bila ustanovljena prva predhodnica današnje Slovenske filharmonije?,1701,1658/1725/1854
,Kateri katoliški meniški red domuje v Pleterjah?,Kartuzijani,Kapucini/Frančiškani/Menoriti
,Katero je najbolj znano rdeče kraško vino?,Teran,Frankinja/Cviček/Merlot
,Direktor katerega znanega podjetja je Ivo Boscarol?,Pipistrel,Akrapović/Gorenje/Tomos
,"Kdaj praznujemo Prešernov dan, oziroma slovenski kulturni praznik?",8. februarja,10. februarja/26. Marca/11. Aprila
,Kolikšna je največja dovoljena hitrost na hitri cesti v Sloveniji? (kmh),110,130/90/120
,Kje je največja knjižnica v Sloveniji?,V Ljubljani,V Mariboru/V Kranju/V Kopru
,Kam se izliva reka Ljubljanica?,V reko Savo,V reko Dravo/V reko Krko/V reko Muro
